Lokasi;Alamat;Luas tanah;Area;Jenis area;Luas area;Bangunan;Lantai;Ruangan;Jenis ruangan;Luas ruangan;Objek;Jenis objek;Panjang;Lebar;Tinggi;Satuan ukuran;Jumlah;Takaran;Kali per minggu
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 4;Toilet Pria;Toilet;18;Urinoir;Urinoir;;;;m;2;30;7
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 4;Toilet Pria;Toilet;18;Cermin;Cermin;3;;1;m;;;7
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 4;Toilet Pria;Toilet;18;Dispenser Sabun;Dispenser / mesin;;;;m;1;15;
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 4;Toilet Pria;Toilet;18;Tempat Sampah;Tempat sampah;;;;m;2;20;
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 4;Toilet Pria;Toilet;18;Pintu;Pintu;0.9;;2.1;m;1;;2
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 4;Toilet Wanita;Toilet;18;Lantai;Lantai / karpet;5.4;3.4;;m;;;
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 4;Toilet Wanita;Toilet;18;Dinding;Dinding;17.6;;3;m;;;1
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 4;Toilet Wanita;Toilet;18;Kloset;Bilik / kloset;;;;m;3;50;7
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 4;Toilet Wanita;Toilet;18;Wastafel;Wastafel;;;;m;2;20;7
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 4;Toilet Wanita;Toilet;18;Cermin;Cermin;3;;1;m;;;7
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 4;Toilet Wanita;Toilet;18;Dispenser Sabun;Dispenser / mesin;;;;m;1;15;
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 4;Toilet Wanita;Toilet;18;Tempat Sampah;Tempat sampah;;;;m;2;20;
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 4;Toilet Wanita;Toilet;18;Pintu;Pintu;0.9;;2.1;m;1;;2
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 4;Koridor;Koridor;55;Lantai;Lantai / karpet;9.4;5.9;;m;;;
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 4;Koridor;Koridor;55;Dinding;Dinding;30.6;;3;m;;;1
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 4;Koridor;Koridor;55;Tempat Sampah;Tempat sampah;;;;m;2;20;
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 4;Koridor;Koridor;55;Pintu Tangga Darurat;Pintu;0.9;;2.1;m;2;;2
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 4;Lift Lobby;Lift;20;Lantai;Lantai / karpet;5.7;3.5;;m;;;
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 4;Lift Lobby;Lift;20;Dinding;Dinding;18.4;;3;m;;;1
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 4;Lift Lobby;Lift;20;Cermin Lift;Cermin;1.8;;2;m;2;;7
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 4;Lift Lobby;Lift;20;Pintu Lift;Pintu;1.1;;2.2;m;2;;2
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 5;Ruang Kerja;Ruang kerja;320;Lantai;Lantai / karpet;22.6;14.1;;m;;;
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 5;Ruang Kerja;Ruang kerja;320;Dinding;Dinding;73.4;;3;m;;;1
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 5;Ruang Kerja;Ruang kerja;320;Kaca Jendela;Kaca / jendela;2;;2.2;m;8;;1
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 5;Ruang Kerja;Ruang kerja;320;Meja Kerja;Meja;1.4;0.7;;m;40;;
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 5;Ruang Kerja;Ruang kerja;320;Kursi Kerja;Kursi;;;;m;40;10;
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 5;Ruang Kerja;Ruang kerja;320;Lemari Arsip;Lemari;1.2;0.5;1.8;m;4;;2
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 5;Ruang Kerja;Ruang kerja;320;Tempat Sampah;Tempat sampah;;;;m;5;20;
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 5;Ruang Rapat;Rapat;45;Lantai;Lantai / karpet;8.5;5.3;;m;;;
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 5;Ruang Rapat;Rapat;45;Dinding;Dinding;27.6;;3;m;;;1
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 5;Ruang Rapat;Rapat;45;Kaca Jendela;Kaca / jendela;2;;2.2;m;2;;1
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 5;Ruang Rapat;Rapat;45;Meja Rapat;Meja;3.6;1.2;;m;1;;
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 5;Ruang Rapat;Rapat;45;Kursi Rapat;Kursi;;;;m;12;10;
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 5;Ruang Rapat;Rapat;45;Proyektor & Layar;Peralatan elektronik;;;;m;1;10;2
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 5;Ruang Rapat;Rapat;45;Tempat Sampah;Tempat sampah;;;;m;1;20;
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 5;Pantry;Pantry;20;Lantai;Lantai / karpet;5.7;3.5;;m;;;
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 5;Pantry;Pantry;20;Dinding;Dinding;18.4;;3;m;;;1
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 5;Pantry;Pantry;20;Wastafel;Wastafel;;;;m;2;20;7
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 5;Pantry;Pantry;20;Lemari Dapur;Lemari;2.4;0.6;0.9;m;1;;2
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 5;Pantry;Pantry;20;Dispenser Air;Dispenser / mesin;;;;m;2;15;
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 5;Pantry;Pantry;20;Meja Makan;Meja;1.8;0.8;;m;1;;
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 5;Pantry;Pantry;20;Kursi;Kursi;;;;m;4;10;
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 5;Pantry;Pantry;20;Tempat Sampah;Tempat sampah;;;;m;2;20;
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 5;Toilet Pria;Toilet;18;Lantai;Lantai / karpet;5.4;3.4;;m;;;
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 5;Toilet Pria;Toilet;18;Dinding;Dinding;17.6;;3;m;;;1
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 5;Toilet Pria;Toilet;18;Kloset;Bilik / kloset;;;;m;3;50;7
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 5;Toilet Pria;Toilet;18;Wastafel;Wastafel;;;;m;2;20;7
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 5;Toilet Pria;Toilet;18;Urinoir;Urinoir;;;;m;2;30;7
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 5;Toilet Pria;Toilet;18;Cermin;Cermin;3;;1;m;;;7
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 5;Toilet Pria;Toilet;18;Dispenser Sabun;Dispenser / mesin;;;;m;1;15;
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 5;Toilet Pria;Toilet;18;Tempat Sampah;Tempat sampah;;;;m;2;20;
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 5;Toilet Pria;Toilet;18;Pintu;Pintu;0.9;;2.1;m;1;;2
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 5;Toilet Wanita;Toilet;18;Lantai;Lantai / karpet;5.4;3.4;;m;;;
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 5;Toilet Wanita;Toilet;18;Dinding;Dinding;17.6;;3;m;;;1
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 5;Toilet Wanita;Toilet;18;Kloset;Bilik / kloset;;;;m;3;50;7
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 5;Toilet Wanita;Toilet;18;Wastafel;Wastafel;;;;m;2;20;7
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 5;Toilet Wanita;Toilet;18;Cermin;Cermin;3;;1;m;;;7
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 5;Toilet Wanita;Toilet;18;Dispenser Sabun;Dispenser / mesin;;;;m;1;15;
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 5;Toilet Wanita;Toilet;18;Tempat Sampah;Tempat sampah;;;;m;2;20;
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 5;Toilet Wanita;Toilet;18;Pintu;Pintu;0.9;;2.1;m;1;;2
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 5;Koridor;Koridor;55;Lantai;Lantai / karpet;9.4;5.9;;m;;;
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 5;Koridor;Koridor;55;Dinding;Dinding;30.6;;3;m;;;1
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 5;Koridor;Koridor;55;Tempat Sampah;Tempat sampah;;;;m;2;20;
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 5;Koridor;Koridor;55;Pintu Tangga Darurat;Pintu;0.9;;2.1;m;2;;2
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 5;Lift Lobby;Lift;20;Lantai;Lantai / karpet;5.7;3.5;;m;;;
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 5;Lift Lobby;Lift;20;Dinding;Dinding;18.4;;3;m;;;1
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 5;Lift Lobby;Lift;20;Cermin Lift;Cermin;1.8;;2;m;2;;7
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 5;Lift Lobby;Lift;20;Pintu Lift;Pintu;1.1;;2.2;m;2;;2
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 6;Kantin;Pantry;150;Lantai;Lantai / karpet;15.5;9.7;;m;;;
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 6;Kantin;Pantry;150;Dinding;Dinding;50.4;;3;m;;;1
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 6;Kantin;Pantry;150;Wastafel;Wastafel;;;;m;2;20;7
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 6;Kantin;Pantry;150;Lemari Dapur;Lemari;2.4;0.6;0.9;m;1;;2
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 6;Kantin;Pantry;150;Dispenser Air;Dispenser / mesin;;;;m;2;15;
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 6;Kantin;Pantry;150;Meja Makan;Meja;1.8;0.8;;m;5;;
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 6;Kantin;Pantry;150;Kursi;Kursi;;;;m;19;10;
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 6;Kantin;Pantry;150;Tempat Sampah;Tempat sampah;;;;m;2;20;
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 6;Mushola;Mushola;40;Lantai;Lantai / karpet;8;5;;m;;;
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 6;Mushola;Mushola;40;Dinding;Dinding;26;;3;m;;;1
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 6;Mushola;Mushola;40;Cermin;Cermin;1.5;;1;m;1;;7
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 6;Mushola;Mushola;40;Lemari Mukena;Lemari;1.2;0.5;1.8;m;1;;2
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 6;Mushola;Mushola;40;Tempat Sampah;Tempat sampah;;;;m;1;20;
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 6;Toilet Pria;Toilet;18;Lantai;Lantai / karpet;5.4;3.4;;m;;;
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 6;Toilet Pria;Toilet;18;Dinding;Dinding;17.6;;3;m;;;1
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 6;Toilet Pria;Toilet;18;Kloset;Bilik / kloset;;;;m;3;50;7
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 6;Toilet Pria;Toilet;18;Wastafel;Wastafel;;;;m;2;20;7
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 6;Toilet Pria;Toilet;18;Urinoir;Urinoir;;;;m;2;30;7
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 6;Toilet Pria;Toilet;18;Cermin;Cermin;3;;1;m;;;7
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 6;Toilet Pria;Toilet;18;Dispenser Sabun;Dispenser / mesin;;;;m;1;15;
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 6;Toilet Pria;Toilet;18;Tempat Sampah;Tempat sampah;;;;m;2;20;
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 6;Toilet Pria;Toilet;18;Pintu;Pintu;0.9;;2.1;m;1;;2
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 6;Toilet Wanita;Toilet;18;Lantai;Lantai / karpet;5.4;3.4;;m;;;
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 6;Toilet Wanita;Toilet;18;Dinding;Dinding;17.6;;3;m;;;1
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 6;Toilet Wanita;Toilet;18;Kloset;Bilik / kloset;;;;m;3;50;7
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 6;Toilet Wanita;Toilet;18;Wastafel;Wastafel;;;;m;2;20;7
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 6;Toilet Wanita;Toilet;18;Cermin;Cermin;3;;1;m;;;7
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 6;Toilet Wanita;Toilet;18;Dispenser Sabun;Dispenser / mesin;;;;m;1;15;
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 6;Toilet Wanita;Toilet;18;Tempat Sampah;Tempat sampah;;;;m;2;20;
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 6;Toilet Wanita;Toilet;18;Pintu;Pintu;0.9;;2.1;m;1;;2
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 6;Koridor;Koridor;40;Lantai;Lantai / karpet;8;5;;m;;;
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 6;Koridor;Koridor;40;Dinding;Dinding;26;;3;m;;;1
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 6;Koridor;Koridor;40;Tempat Sampah;Tempat sampah;;;;m;2;20;
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 6;Koridor;Koridor;40;Pintu Tangga Darurat;Pintu;0.9;;2.1;m;2;;2
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 6;Lift Lobby;Lift;20;Lantai;Lantai / karpet;5.7;3.5;;m;;;
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 6;Lift Lobby;Lift;20;Dinding;Dinding;18.4;;3;m;;;1
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 6;Lift Lobby;Lift;20;Cermin Lift;Cermin;1.8;;2;m;2;;7
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 6;Lift Lobby;Lift;20;Pintu Lift;Pintu;1.1;;2.2;m;2;;2
